Gene	Weight	Module	Annotation	Name
LOC_Os11g31570	0.928156473	brown		
LOC_Os05g32500	0.980494129	blue		
LOC_Os01g52680	0.95580706	red		
LOC_Os01g21310	0.958806079	blue		
LOC_Os01g20206	0.953167186	magenta		
LOC_Os06g44050	0.946882773	green		
LOC_Os05g32544	0.955122434	blue		
LOC_Os07g10580	0.942581991	pink		
LOC_Os03g58350	0.908695612	green		
LOC_Os01g37590	0.921704471	black		
LOC_Os07g12080	0.990840541	purple		
LOC_Os04g01690	0.942009927	red		
LOC_Os11g26190	0.923618485	blue		
LOC_Os05g06920	0.906918857	black		
LOC_Os02g09960	0.906836154	magenta		
LOC_Os01g02580	0.965153701	black		
LOC_Os05g51020	0.947269006	brown		
LOC_Os07g38840	0.922604316	salmon		
LOC_Os11g02330	0.920005363	brown		
LOC_Os01g64490	0.942292878	blue		
LOC_Os04g46560	0.978402892	blue		
LOC_Os07g12910	0.921535489	pink		
LOC_Os04g26220	0.939795545	red		
LOC_Os12g41780	0.962152049	red		
LOC_Os05g48700	0.940477566	red		
LOC_Os10g34170	0.96443675	magenta		
LOC_Os11g05290	0.933028631	blue		
LOC_Os06g05630	0.916465412	blue		
LOC_Os03g06940	0.92768111	green		
LOC_Os10g02394	0.904712139	turquoise		
LOC_Os06g48665	0.911857976	purple		
LOC_Os04g40990	0.900642304	salmon		
LOC_Os09g28470	0.950639752	blue		
LOC_Os11g19340	0.908767039	tan		
LOC_Os11g11350	0.912532814	blue		
LOC_Os09g35890	0.923788347	red		
LOC_Os01g74480	0.985349651	greenyellow		
LOC_Os02g08220	0.936536898	red		
LOC_Os03g28090	0.948202271	red		
LOC_Os10g38110	0.917190401	black		
LOC_Os03g12250	0.962944532	blue		
LOC_Os07g11020	0.944712492	brown		
LOC_Os04g30800	0.900543506	green		
LOC_Os12g41600	0.917643418	blue		
LOC_Os03g03600	0.946832206	blue		
LOC_Os03g62410	0.922859282	red		
LOC_Os11g45220	0.97960959	red		
LOC_Os06g43780	0.910009672	magenta		
LOC_Os11g13859	0.930873639	red		
LOC_Os10g38800	0.907132957	blue		
LOC_Os06g05320	0.956776851	blue		
LOC_Os09g24020	0.950887477	red		
LOC_Os04g37670	0.900542798	magenta		
LOC_Os04g42590	0.932274174	turquoise		
LOC_Os12g06760	0.936186811	brown		
LOC_Os01g36660	0.964909497	green		
LOC_Os07g39030	0.922409392	magenta		
LOC_Os05g34040	0.904242063	turquoise		
LOC_Os01g17402	0.952338332	brown		
LOC_Os06g04930	0.99159451	purple		
LOC_Os06g41050	0.907745643	brown		
LOC_Os07g09384	0.901423002	red		
LOC_Os03g57970	0.910709417	blue		
LOC_Os11g36240	0.923945275	red		
LOC_Os07g44360	0.920875597	green		
LOC_Os02g51020	0.937720553	turquoise		
LOC_Os01g68050	0.961480859	blue		
LOC_Os08g37570	0.958255033	red		
LOC_Os09g33470	0.966420509	turquoise		
LOC_Os10g33240	0.917191216	red		
LOC_Os03g13570	0.961706805	blue		
LOC_Os02g01270	0.944811052	red		
LOC_Os06g06260	0.993785845	purple		
LOC_Os03g40194	0.902501948	turquoise		
LOC_Os10g04980	0.952871798	pink		
LOC_Os01g12210	0.923642714	black		
LOC_Os06g12450	0.96084949	pink		
LOC_Os05g41280	0.952033918	brown		
LOC_Os04g33150	0.910180981	purple		
LOC_Os12g32380	0.946994475	brown		
LOC_Os12g32150	0.957827248	pink		
LOC_Os03g24690	0.976416199	midnightblue		
LOC_Os02g07190	0.944531122	green		
LOC_Os08g04440	0.904049283	yellow		
LOC_Os06g45150	0.917334731	red		
LOC_Os01g20000	0.956811006	red		
LOC_Os03g03700	0.930811196	magenta		
LOC_Os02g39740	0.955059408	turquoise		
LOC_Os06g44320	0.924980474	green		
LOC_Os04g59210	0.903496442	red		
LOC_Os11g01439	0.980335966	black		
LOC_Os02g09930	0.952077282	green		
LOC_Os01g23440	0.988544325	red		
LOC_Os05g46840	0.923405402	magenta		
LOC_Os01g16910	0.939328216	brown		
LOC_Os01g48500	0.912601554	turquoise		
LOC_Os02g51620	0.943773103	brown		
LOC_Os01g67630	0.917523725	brown		
LOC_Os02g14160	0.941954642	blue		
LOC_Os11g01220	0.963564357	turquoise		
LOC_Os07g11630	0.96789053	purple		
LOC_Os05g48310	0.948404868	brown		
LOC_Os03g53010	0.939948776	magenta		
LOC_Os10g41160	0.947712227	purple		
LOC_Os12g44350	0.980846018	red		
LOC_Os10g14870	0.931306867	black		
LOC_Os08g24630	0.949768524	midnightblue		
LOC_Os02g46830	0.924166853	blue		
LOC_Os02g09540	0.98609893	red		
LOC_Os03g56660	0.928143173	magenta		
LOC_Os07g14660	0.929338097	blue		
LOC_Os03g05334	0.929952514	blue		
LOC_Os09g19710	0.960183624	brown		
LOC_Os02g02210	0.936336169	salmon		
LOC_Os11g14390	0.973281435	blue		
LOC_Os06g33690	0.905487061	purple		
LOC_Os04g33749	0.957507644	brown		
LOC_Os03g61890	0.937810405	black		
LOC_Os04g38740	0.94230121	brown		
LOC_Os02g21570	0.902325354	turquoise		
LOC_Os03g14130	0.918883105	blue		
LOC_Os03g10390	0.933370121	brown		
LOC_Os10g41470	0.94637692	brown		
LOC_Os09g16260	0.968065476	pink		
LOC_Os11g42960	0.902539443	blue		
LOC_Os08g43500	0.977551076	red		
LOC_Os01g38670	0.981149408	greenyellow		
LOC_Os02g03550	0.963238421	red		
LOC_Os03g45210	0.958776507	pink		
LOC_Os12g34802	0.970091811	blue		
LOC_Os09g22000	0.972900238	red		
LOC_Os08g12410	0.958586497	red		
LOC_Os11g43830	0.947871002	red		
LOC_Os08g02210	0.971802383	black		
LOC_Os04g58700	0.935510976	blue		
LOC_Os11g10990	0.971159369	black		
LOC_Os05g33080	0.946722704	blue		
LOC_Os08g41590	0.900618233	blue		
LOC_Os07g01460	0.952877184	brown		
LOC_Os09g28850	0.937243602	blue		
LOC_Os01g51410	0.955717945	black		
LOC_Os03g24510	0.961431399	red		
LOC_Os03g10334	0.986808401	red		
LOC_Os07g40220	0.95341481	red		
LOC_Os01g73980	0.953970168	blue		
LOC_Os06g21410	0.959806229	red		
LOC_Os01g28230	0.908832941	brown		
LOC_Os04g59610	0.935560332	black		
LOC_Os12g03070	0.948129903	black		
LOC_Os07g09630	0.945525826	purple		
LOC_Os03g62090	0.934389485	blue		
LOC_Os02g03500	0.943244751	red		
LOC_Os01g47630	0.947976839	black		
LOC_Os02g15810	0.926306733	green		
LOC_Os11g05719	0.900138949	green		
LOC_Os06g40170	0.946863825	tan		
LOC_Os06g06513	0.908107125	green		
LOC_Os07g03930	0.923839598	black		
LOC_Os05g39990	0.916369989	red		
LOC_Os01g25010	0.95065059	black		
LOC_Os06g09230	0.961029686	red		
LOC_Os01g43610	0.966499169	blue		
LOC_Os11g08830	0.908299201	black		
LOC_Os10g26700	0.993071473	purple		
LOC_Os02g08270	0.979402308	tan		
LOC_Os03g62010	0.90757002	magenta		
LOC_Os08g43250	0.928984436	red		
LOC_Os03g39760	0.908975527	black		
LOC_Os04g32080	0.982246258	purple		
LOC_Os06g45210	0.938338016	red		
LOC_Os10g25180	0.99212597	pink		
LOC_Os01g68740	0.91093442	magenta		
LOC_Os12g20280	0.914814042	turquoise		
LOC_Os05g38570	0.959833783	turquoise		
LOC_Os07g49370	0.956741388	blue		
LOC_Os02g56100	0.946937392	brown		
LOC_Os03g03270	0.900277854	red		
LOC_Os01g62630	0.933799657	blue		
LOC_Os12g05040	0.939439965	green		
LOC_Os11g43990	0.96540796	magenta		
LOC_Os09g31230	0.953691754	green		
LOC_Os05g09740	0.941050198	blue		
LOC_Os02g47010	0.924174366	blue		
LOC_Os02g32660	0.992842331	pink		
LOC_Os03g51650	0.900019254	black		
LOC_Os04g57750	0.931317698	red		
LOC_Os07g31830	0.956418276	red		
LOC_Os02g28810	0.958610879	brown		
LOC_Os06g28000	0.929822585	blue		
LOC_Os01g63580	0.926914755	green		
LOC_Os01g47780	0.96179842	blue		
LOC_Os11g05970	0.988702318	red		
LOC_Os01g60740	0.91409441	green		
LOC_Os02g27592	0.955047795	turquoise		
LOC_Os03g02380	0.956072842	blue		
LOC_Os09g36810	0.977475971	red		
LOC_Os01g40630	0.917663439	black		
LOC_Os07g02200	0.93049639	green		
LOC_Os05g40770	0.92706816	magenta		
LOC_Os07g40480	0.939238399	green		
LOC_Os01g04130	0.955212193	turquoise		
LOC_Os03g62830	0.945591446	brown		
LOC_Os02g04190	0.959528083	brown		
